Date,Series,Value
2017-10-09,Average Tone,-0.1363
2017-10-10,Average Tone,-0.6715
2017-10-11,Average Tone,-0.9696
2017-10-12,Average Tone,-1.7184
2017-10-13,Average Tone,-2.5198
2017-10-14,Average Tone,-1.304
2017-10-15,Average Tone,-0.9007
2017-10-16,Average Tone,-0.7862
2017-10-17,Average Tone,-0.3504
2017-10-18,Average Tone,0.0857
2017-10-19,Average Tone,-0.6854
2017-10-20,Average Tone,-0.9571
2017-10-21,Average Tone,-0.4504
2017-10-22,Average Tone,-0.7087
2017-10-23,Average Tone,-0.8683
2017-10-24,Average Tone,1.1012
2017-10-25,Average Tone,-0.0822
2017-10-26,Average Tone,-0.0893
2017-10-27,Average Tone,-0.2221
2017-10-28,Average Tone,-1.0211
2017-10-29,Average Tone,-0.6864
2017-10-30,Average Tone,0.0238
2017-10-31,Average Tone,0.1657
2017-11-01,Average Tone,0.0579
2017-11-02,Average Tone,-0.8932
2017-11-03,Average Tone,-0.1791
2017-11-04,Average Tone,-0.2727
2017-11-05,Average Tone,-0.6991
2017-11-06,Average Tone,-1.2463
2017-11-07,Average Tone,-0.7735
2017-11-08,Average Tone,-1.1202
2017-11-09,Average Tone,-0.0048
2017-11-10,Average Tone,-0.8005
2017-11-11,Average Tone,-1.0155
2017-11-12,Average Tone,-0.3392
2017-11-13,Average Tone,-0.7622
2017-11-14,Average Tone,0.0245
2017-11-15,Average Tone,-1.0184
2017-11-16,Average Tone,-0.1382
2017-11-17,Average Tone,-0.5548
2017-11-18,Average Tone,-0.5458
2017-11-19,Average Tone,-0.6375
2017-11-20,Average Tone,-0.3048
2017-11-21,Average Tone,-0.3041
2017-11-22,Average Tone,-0.0848
2017-11-23,Average Tone,-1.4619
2017-11-24,Average Tone,-0.7231
2017-11-25,Average Tone,-0.8406
2017-11-26,Average Tone,-3.5909
2017-11-27,Average Tone,-0.4102
2017-11-28,Average Tone,-1.0603
2017-11-29,Average Tone,-1.3354
2017-11-30,Average Tone,-1.1477
2017-12-03,Average Tone,-1.227
2017-12-04,Average Tone,-0.0467
2017-12-05,Average Tone,-0.0784
2017-12-06,Average Tone,-0.3731
2017-12-07,Average Tone,-0.6858
2017-12-08,Average Tone,-0.46
2017-12-09,Average Tone,-0.6676
2017-12-10,Average Tone,-0.4637
2017-12-11,Average Tone,0.0032
2017-12-12,Average Tone,-0.5159
2017-12-13,Average Tone,-0.6185
2017-12-14,Average Tone,-0.3029
2017-12-15,Average Tone,-0.4576
2017-12-16,Average Tone,0.8089
2017-12-17,Average Tone,-0.313
2017-12-18,Average Tone,-0.5903
2017-12-19,Average Tone,-0.8739
2017-12-20,Average Tone,-0.9991
2017-12-21,Average Tone,-0.5774
2017-12-22,Average Tone,-1.5119
2017-12-23,Average Tone,-4.1932
2017-12-24,Average Tone,-2.2936
2017-12-25,Average Tone,-3.9361
2017-12-26,Average Tone,-0.501
2017-12-27,Average Tone,-0.1527
2017-12-28,Average Tone,-3.1937
2017-12-29,Average Tone,-1.3293
2017-12-30,Average Tone,-1.6469
2017-12-31,Average Tone,-0.7542
2018-01-01,Average Tone,0.3353
2018-01-02,Average Tone,-1.086
2018-01-03,Average Tone,-0.3915
2018-01-04,Average Tone,0.2848
2018-01-05,Average Tone,-0.8158
2018-01-06,Average Tone,-1.9241
2018-01-07,Average Tone,-1.3811
2018-01-08,Average Tone,-1.8119
2018-01-09,Average Tone,-0.9263
2018-01-10,Average Tone,-0.7816
2018-01-11,Average Tone,-1.2535
2018-01-12,Average Tone,-0.5924
2018-01-13,Average Tone,-1.4738
2018-01-14,Average Tone,-1.4423
2018-01-15,Average Tone,-0.8547
2018-01-16,Average Tone,-0.7351
2018-01-17,Average Tone,-0.8488
2018-01-18,Average Tone,-1.1792
2018-01-19,Average Tone,-0.7767
2018-01-20,Average Tone,-3.2873
2018-01-21,Average Tone,-0.5161
2018-01-22,Average Tone,-0.8465
2018-01-23,Average Tone,-1.9842
2018-01-24,Average Tone,-0.9752
2018-01-25,Average Tone,-0.9291
2018-01-26,Average Tone,-0.1789
2018-01-27,Average Tone,-1.5987
2018-01-28,Average Tone,-0.9202
2018-01-29,Average Tone,-0.2813
2018-01-30,Average Tone,-0.7303
2018-01-31,Average Tone,-1.2265
2018-02-01,Average Tone,-0.0988
2018-02-02,Average Tone,-0.4849
2018-02-03,Average Tone,-1.2016
2018-02-04,Average Tone,-0.9864
2018-02-05,Average Tone,-1.7932
2018-02-06,Average Tone,-1.2992
2018-02-07,Average Tone,-1.1004
2018-02-08,Average Tone,-0.8167
2018-02-09,Average Tone,-0.6554
2018-02-10,Average Tone,-1.719
2018-02-11,Average Tone,-1.0886
2018-02-12,Average Tone,-0.4427
2018-02-13,Average Tone,-0.1859
2018-02-14,Average Tone,-0.1984
2018-02-15,Average Tone,0.2176
2018-02-16,Average Tone,-0.1812
2018-02-17,Average Tone,-1.708
2018-02-18,Average Tone,1.0798
2018-02-19,Average Tone,-0.2475
2018-02-20,Average Tone,0.3226
2018-02-21,Average Tone,-0.0309
2018-02-22,Average Tone,-0.2076
2018-02-23,Average Tone,-0.5607
2018-02-24,Average Tone,-1.2662
2018-02-25,Average Tone,-0.3132
2018-02-26,Average Tone,-2.0951
2018-02-27,Average Tone,-0.9573
2018-02-28,Average Tone,-0.3724
2018-03-01,Average Tone,-0.5888
2018-03-02,Average Tone,-2.6415
2018-03-03,Average Tone,-0.7494
2018-03-04,Average Tone,-0.7716
2018-03-05,Average Tone,-0.564
2018-03-06,Average Tone,-0.6708
2018-03-07,Average Tone,-0.7212
2018-03-08,Average Tone,-0.5569
2018-03-09,Average Tone,-1.0407
2018-03-10,Average Tone,-0.7085
2018-03-11,Average Tone,-0.5055
2018-03-12,Average Tone,-0.5727
2018-03-13,Average Tone,-0.7838
2018-03-14,Average Tone,-0.6851
2018-03-15,Average Tone,-0.6706
