Date,Series,Value
2019-02-18,Average Tone,0
2019-02-19,Average Tone,0
2019-02-20,Average Tone,1.2797
2019-02-21,Average Tone,0
2019-02-22,Average Tone,0
2019-02-23,Average Tone,0
2019-02-24,Average Tone,0
2019-02-25,Average Tone,2.0305
2019-02-26,Average Tone,0
2019-02-27,Average Tone,0
2019-02-28,Average Tone,0
2019-03-01,Average Tone,0
2019-03-02,Average Tone,0
2019-03-03,Average Tone,0
2019-03-04,Average Tone,0
2019-03-05,Average Tone,0
2019-03-06,Average Tone,0
2019-03-07,Average Tone,0
2019-03-08,Average Tone,0
2019-03-09,Average Tone,0
2019-03-10,Average Tone,-1.637
2019-03-11,Average Tone,0
2019-03-12,Average Tone,0
2019-03-13,Average Tone,0
2019-03-14,Average Tone,0
2019-03-15,Average Tone,0
2019-03-16,Average Tone,0
2019-03-17,Average Tone,0
2019-03-18,Average Tone,0
2019-03-19,Average Tone,0
2019-03-20,Average Tone,0
2019-03-21,Average Tone,0
2019-03-22,Average Tone,0
2019-03-23,Average Tone,0
2019-03-24,Average Tone,0
2019-03-25,Average Tone,0
2019-03-26,Average Tone,0
2019-03-27,Average Tone,1.8519
2019-03-28,Average Tone,-2.3936
2019-03-29,Average Tone,1.8223
2019-03-30,Average Tone,-2.3729
2019-03-31,Average Tone,0
2019-04-01,Average Tone,0
2019-04-02,Average Tone,0
2019-04-03,Average Tone,-2.6465
2019-04-04,Average Tone,0
2019-04-05,Average Tone,0
2019-04-06,Average Tone,0
2019-04-07,Average Tone,0
2019-04-08,Average Tone,0
2019-04-09,Average Tone,0
2019-04-10,Average Tone,0
2019-04-11,Average Tone,0
2019-04-12,Average Tone,0
2019-04-13,Average Tone,0
2019-04-14,Average Tone,0
2019-04-15,Average Tone,0
2019-04-16,Average Tone,0
2019-04-17,Average Tone,0
2019-04-18,Average Tone,0
2019-04-19,Average Tone,0
2019-04-20,Average Tone,0
2019-04-21,Average Tone,0
2019-04-22,Average Tone,0
2019-04-23,Average Tone,2.4748
2019-04-24,Average Tone,0
2019-04-25,Average Tone,0
2019-04-26,Average Tone,0
2019-04-27,Average Tone,0
2019-04-28,Average Tone,0
2019-04-29,Average Tone,0.9931
2019-04-30,Average Tone,-0.9044
2019-05-01,Average Tone,0
2019-05-02,Average Tone,0
2019-05-03,Average Tone,0
2019-05-04,Average Tone,0
2019-05-05,Average Tone,0
2019-05-06,Average Tone,0
2019-05-07,Average Tone,0
2019-05-08,Average Tone,1.6529
2019-05-09,Average Tone,0
2019-05-10,Average Tone,0.2372
2019-05-11,Average Tone,0
2019-05-12,Average Tone,0
2019-05-13,Average Tone,1.8223
2019-05-14,Average Tone,3.6675
2019-05-15,Average Tone,0
2019-05-16,Average Tone,3.7838
2019-05-17,Average Tone,-0.3088
2019-05-18,Average Tone,0
2019-05-19,Average Tone,0
2019-05-20,Average Tone,0
2019-05-21,Average Tone,0
2019-05-22,Average Tone,0
2019-05-23,Average Tone,2.7422
2019-05-24,Average Tone,-2.439
2019-05-25,Average Tone,0
2019-05-26,Average Tone,3.1034
2019-05-27,Average Tone,3.1125
2019-05-28,Average Tone,3.7646
